% degree N
3
% number of nodes
20
% node coordinates
-3.000000000000001E+00 1.170902735760873E-15 -8.266437463466599E-16 9.546818789193454E-17 -1.378278137178844E-16 -8.487559186486477E-17 4.710372320548841E-16 1.223950273392932E-16 2.095731704877371E-16 6.474574196029522E-17 4.045084971874735E+00 1.989072817245257E-15 3.261187219925810E-16 4.702489432959816E-16 -7.728770702002768E-16 -1.525161411782213E-16 -1.545084971874737E+00 -6.656050833935106E-16 2.497697822776268E-16 4.999999999999994E-01 
-7.090169943749483E-01 -2.000000000000000E+00 -1.909830056250525E-01 1.000000000000001E-01 1.465895997492524E-16 -1.444779577782307E-15 6.831628685262376E-16 3.822604532112913E-16 7.284818887904803E-16 -2.109837283575013E-16 1.618033988749894E+00 2.700000000000003E+00 -1.909830056250525E-01 -7.198751252156088E-16 -1.271205438882840E-15 1.510104322749453E-17 -1.309016994374947E+00 -6.180339887498949E-01 5.753084061263963E-16 5.999999999999992E-01 
4.090169943749475E-01 -1.309016994374948E+00 -2.000000000000000E+00 1.000000000000000E-01 -3.073677238075146E-16 4.329455772841045E-16 -9.164495837210650E-16 7.039193354170483E-16 2.723085352397777E-16 -1.569795602646199E-16 -1.909830056250539E-01 2.700000000000002E+00 1.618033988749896E+00 -1.132088264583452E-15 -1.131439477575035E-15 -2.720317166389318E-17 -6.180339887498951E-01 -1.309016994374947E+00 7.001037603142439E-16 5.999999999999996E-01 
-5.000000000000001E-01 1.545084971874736E+00 -4.045084971874735E+00 -6.465267587081545E-16 -1.841150625390902E-16 7.193586380475098E-16 -7.831593663889288E-16 9.109074540681398E-16 -3.995084595672317E-16 5.978099733328622E-17 8.120104560789665E-16 -2.147826142912014E-15 4.045084971874739E+00 -8.539344846340545E-16 -5.790405269047286E-17 -2.471112414101235E-16 -2.607627939729324E-16 -1.545084971874736E+00 5.288206775178163E-16 4.999999999999998E-01 
-7.090169943749487E-01 1.530696184318309E-16 7.342005060865001E-16 -2.789410978902536E-16 -2.000000000000000E+00 -9.492406860545085E-16 9.175525880247325E-16 -1.909830056250524E-01 -3.284828302456686E-16 1.000000000000002E-01 1.618033988749894E+00 3.180454550451187E-16 -4.727587877844750E-17 2.700000000000001E+00 -2.350029534304023E-16 -1.909830056250531E-01 -1.309016994374948E+00 -4.644459934312703E-17 -6.180339887498943E-01 5.999999999999995E-01 
3.888888888888895E-01 -7.272316635416379E-01 -1.061016697916951E-01 5.555555555555540E-02 -7.272316635416365E-01 -1.500000000000002E+00 7.342091802031455E-16 -1.061016697916955E-01 -1.222307624653094E-16 5.555555555555546E-02 -1.061016697916959E-01 1.500000000000000E+00 -1.061016697916958E-01 1.499999999999999E+00 1.500000000000001E+00 -1.061016697916961E-01 -7.272316635416372E-01 -7.272316635416376E-01 -7.272316635416370E-01 6.666666666666663E-01 
-5.999999999999986E-01 1.309016994374945E+00 -1.618033988749892E+00 -8.927520612411908E-16 6.180339887498943E-01 -2.699999999999999E+00 -2.350497860807317E-16 1.909830056250531E-01 -4.996003610813205E-16 3.098911266314896E-16 3.032317454405916E-16 -1.180075993229009E-15 1.618033988749895E+00 -1.334970239869880E-15 2.700000000000002E+00 -1.909830056250531E-01 1.336567513998749E-16 -1.309016994374948E+00 -6.180339887498942E-01 5.999999999999999E-01 
4.090169943749481E-01 -4.795359850853013E-16 8.944117046956113E-16 -4.658247666841518E-16 -1.309016994374947E+00 -1.837419105754634E-15 8.127343245509394E-16 -1.999999999999999E+00 -6.342041756820925E-18 9.999999999999974E-02 -1.909830056250524E-01 -1.169473932409796E-15 3.817418355266056E-16 2.700000000000000E+00 -3.857434198832545E-16 1.618033988749895E+00 -6.180339887498950E-01 1.246013088621420E-16 -1.309016994374947E+00 6.000000000000000E-01 
-6.000000000000008E-01 6.180339887498945E-01 1.909830056250533E-01 -2.153222348572736E-16 1.309016994374947E+00 -2.700000000000000E+00 3.316449775282470E-16 -1.618033988749894E+00 -1.677552985369806E-31 -1.280715231430684E-16 6.918524114180685E-16 -1.616302559959163E-15 -1.909830056250522E-01 -1.753459957338434E-15 2.700000000000002E+00 1.618033988749895E+00 1.729705256454787E-16 -6.180339887498946E-01 -1.309016994374947E+00 5.999999999999998E-01 
-4.999999999999998E-01 7.972809006065453E-16 -1.157437069556858E-16 -2.363201069269902E-16 1.545084971874737E+00 -9.720672294883503E-16 5.585386563604405E-16 -4.045084971874736E+00 -4.454043745417736E-32 -3.201788078576710E-16 1.930248262518227E-16 4.735976243284887E-16 5.894964590043146E-16 -3.731381320580110E-16 -8.764176767128995E-16 4.045084971874737E+00 7.276810690841135E-17 -1.325859376947076E-16 -1.545084971874737E+00 4.999999999999998E-01 
-8.090169943749486E-01 6.591864260205269E-16 -1.295940986439677E-16 1.880532275093306E-17 -1.393007186414319E-17 4.448065445646927E-17 -3.862075325977004E-17 2.164662922578168E-16 -6.328220969299397E-17 -1.115049744529934E-16 1.245000832863284E-15 -5.332194408118920E-16 3.154848840899668E-16 -7.837277640207252E-16 8.945474178999298E-17 2.237078342018961E-16 1.118033988749895E+00 -2.474078915284420E-16 -3.991607751465877E-17 -3.090169943749472E-01 
3.333333333333338E-01 -7.272316635416375E-01 -1.061016697916957E-01 -1.439608404292210E-17 -2.161126733738797E-16 -3.957992876887123E-16 -1.388024806758880E-16 2.429288448586289E-16 8.800687628750024E-17 -1.030050933930275E-16 -6.211299937499416E-01 3.027935684130107E-16 1.061016697916958E-01 -3.750398748293957E-16 8.926970869692345E-17 5.410301037504970E-17 6.211299937499415E-01 7.272316635416372E-01 7.385861083274981E-17 -3.333333333333330E-01 
-6.000000000000001E-01 1.309016994374946E+00 -1.618033988749894E+00 -1.000000000000002E-01 -1.561285917719131E-16 9.116646174540010E-16 -3.964273557213960E-16 -1.895416843771992E-17 -4.304372335303443E-16 1.310682258211600E-16 6.180339887498940E-01 -2.699999999999999E+00 2.000000000000000E+00 8.331639794828719E-16 2.314861034080193E-16 1.303765719108566E-17 1.909830056250522E-01 1.309016994374947E+00 -4.338205070717130E-16 -4.090169943749472E-01 
3.333333333333332E-01 -1.615921362067078E-16 4.395573376256683E-16 -2.335104548847972E-16 -7.272316635416374E-01 -1.287111223983987E-16 4.986006037296524E-17 -1.061016697916959E-01 -1.363445291765113E-17 -1.754853400275852E-16 -6.211299937499414E-01 -4.511665960553240E-16 -1.575897250390253E-16 -5.442147323073165E-17 2.521524525635366E-17 1.061016697916962E-01 6.211299937499416E-01 2.180388084644695E-16 7.272316635416370E-01 -3.333333333333330E-01 
-6.666666666666670E-01 7.272316635416372E-01 1.061016697916956E-01 -5.555555555555525E-02 7.272316635416366E-01 -1.499999999999999E+00 2.084492139176158E-16 1.061016697916955E-01 -1.679045050299838E-17 -5.555555555555557E-02 7.272316635416369E-01 -1.500000000000000E+00 1.061016697916952E-01 -1.500000000000000E+00 1.500000000000000E+00 1.061016697916960E-01 1.061016697916960E-01 7.272316635416374E-01 7.272316635416370E-01 -3.888888888888887E-01 
-6.000000000000005E-01 9.498808524862411E-16 -5.088252786511434E-16 5.416663358447079E-17 1.309016994374947E+00 7.271960811294776E-16 -2.187010951438407E-16 -1.618033988749895E+00 7.416888735605622E-16 -1.000000000000007E-01 6.180339887498946E-01 -7.776733068645910E-17 2.604066738479731E-16 -2.700000000000000E+00 -1.409105643491260E-15 2.000000000000001E+00 1.909830056250529E-01 1.850946362849684E-16 1.309016994374947E+00 -4.090169943749475E-01 
